"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"72","2","file:/home/richard/local/bench/ipres/systems-showcase-files/Freehand%2010%20-ILLCS4.fh10","/home/richard/local/bench/ipres/systems-showcase-files/Freehand 10 -ILLCS4.fh10","Freehand 10 -ILLCS4.fh10","Signature","Done","23496","File","fh10","2015-01-21T00:55:30","false",,"1","fmt/547","","Macromedia FreeHand","10"
"73","2","file:/home/richard/local/bench/ipres/systems-showcase-files/MG15S067.JPG","/home/richard/local/bench/ipres/systems-showcase-files/MG15S067.JPG","MG15S067.JPG","Signature","Done","126492","File","jpg","2015-01-21T03:13:18","false",,"1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"74","2","file:/home/richard/local/bench/ipres/systems-showcase-files/SGIPSCS4.sgi","/home/richard/local/bench/ipres/systems-showcase-files/SGIPSCS4.sgi","SGIPSCS4.sgi","Signature","Done","1841068","File","sgi","2015-01-21T02:42:52","true",,"1","x-fmt/140","image/x-sgi-bw","Silicon Graphics Image",""
"75","2","file:/home/richard/local/bench/ipres/systems-showcase-files/3D_B.JPG","/home/richard/local/bench/ipres/systems-showcase-files/3D_B.JPG","3D_B.JPG","Signature","Done","91635","File","jpg","2015-01-21T01:36:32","false",,"1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"76","2","file:/home/richard/local/bench/ipres/systems-showcase-files/PSCS4editable16.pdf","/home/richard/local/bench/ipres/systems-showcase-files/PSCS4editable16.pdf","PSCS4editable16.pdf","Signature","Done","5513841","File","pdf","2015-01-21T02:50:32","false",,"1","fmt/20","application/pdf","Acrobat PDF 1.6 - Portable Document Format","1.6"
"77","2","file:/home/richard/local/bench/ipres/systems-showcase-files/COMPARE.XLA","/home/richard/local/bench/ipres/systems-showcase-files/COMPARE.XLA","COMPARE.XLA","Signature","Done","9187","File","xla","2015-01-21T01:08:20","true",,"1","fmt/556","application/vnd.ms-excel","Microsoft Excel Macro","3.0"
"78","2","file:/home/richard/local/bench/ipres/systems-showcase-files/BREAKEVN.XLS","/home/richard/local/bench/ipres/systems-showcase-files/BREAKEVN.XLS","BREAKEVN.XLS","Signature","Done","9548","File","xls","2015-01-21T01:12:12","false",,"1","fmt/56","application/vnd.ms-excel","Microsoft Excel 3.0 Worksheet (xls)","3"
"79","2","file:/home/richard/local/bench/ipres/systems-showcase-files/PS3%20RGB%20mode%20ai%20path.ai","/home/richard/local/bench/ipres/systems-showcase-files/PS3 RGB mode ai path.ai","PS3 RGB mode ai path.ai","Signature","Done","441","File","ai","2015-01-21T02:54:52","false",,"1","x-fmt/20","application/postscript","Adobe Illustrator","1.0 / 1.1"
"80","2","file:/home/richard/local/bench/ipres/systems-showcase-files/ps4ASCIIpriview.EPS","/home/richard/local/bench/ipres/systems-showcase-files/ps4ASCIIpriview.EPS","ps4ASCIIpriview.EPS","Signature","Done","525395","File","eps","2015-01-21T02:54:12","false",,"1","fmt/124","application/postscript","Encapsulated PostScript File Format","3"
"81","2","file:/home/richard/local/bench/ipres/systems-showcase-files/30%20Seconds%20to%20Mars%20_%20Up%20In%20the%20Air.sib","/home/richard/local/bench/ipres/systems-showcase-files/30 Seconds to Mars _ Up In the Air.sib","30 Seconds to Mars _ Up In the Air.sib","Signature","Done","41148","File","sib","2015-01-21T01:37:36","false",,"1","fmt/696","","Sibelius",""
"82","2","file:/home/richard/local/bench/ipres/systems-showcase-files/ps25m_BMP_OS2_16b.BMP","/home/richard/local/bench/ipres/systems-showcase-files/ps25m_BMP_OS2_16b.BMP","ps25m_BMP_OS2_16b.BMP","Signature","Done","421228","File","bmp","2015-01-21T02:55:34","false",,"1","fmt/115","image/bmp","Windows Bitmap","2.0"
"83","2","file:/home/richard/local/bench/ipres/systems-showcase-files/VENUS.MSP","/home/richard/local/bench/ipres/systems-showcase-files/VENUS.MSP","VENUS.MSP","Signature","Done","4928","File","msp","2015-01-21T02:30:18","false",,"1","fmt/912","","Microsoft Paint","2"
"84","2","file:/home/richard/local/bench/ipres/systems-showcase-files/EXPORTS.XLW","/home/richard/local/bench/ipres/systems-showcase-files/EXPORTS.XLW","EXPORTS.XLW","Signature","Done","22009","File","xlw","2015-01-21T00:58:48","false",,"1","fmt/58","application/vnd.ms-excel","Microsoft Excel 4.0 Workbook (xls)","4W"
"85","2","file:/home/richard/local/bench/ipres/systems-showcase-files/PS20.PSD","/home/richard/local/bench/ipres/systems-showcase-files/PS20.PSD","PS20.PSD",,"Done","5669","File","psd","2015-01-21T02:55:54","false",,"0",,"","",""
